name,chamber,party,screen_name,account_type
Vicky Hartzler,house,R,RepHartzler,office
Vicky Hartzler,house,R,VickyH4Congress,campaign
Gregorio Sablan,house,D,Kilili_Sablan,office
Bennie Thompson,house,D,BennieGThompson,office
Bennie Thompson,house,D,BGThompsonMS,campaign
Gregg Harper,house,R,GreggHarper,office
Gregg Harper,house,R,HarperCampaign,campaign
Michael Guest,house,R,RepMichaelGuest,office
Michael Guest,house,R,GuestCongress,campaign
Steven Palazzo,house,R,StevenPalazzo,campaign
Steven Palazzo,house,R,CongPalazzo,office
Trent Kelly,house,R,KellyforMS01,campaign
Trent Kelly,house,R,RepTrentKelly,office
Greg Gianforte,house,R,gianforte,office
Greg Gianforte,house,R,GregForMontana,campaign
Matthew Rosendale,house,R,MattForMontana,campaign
Matthew Rosendale,house,R,RepRosendale,office
Alma Adams,house,D,AlmaforCongress,campaign
Alma Adams,house,D,RepAdams,office
Dan Bishop,house,R,jdanbishop,campaign
Dan Bishop,house,R,RepDanBishop,office
David Cawthorn,house,R,RepCawthorn,office
David Cawthorn,house,R,CawthornforNC,campaign
David Price,house,D,RepDavidEPrice,office
David Price,house,D,DPrice4Congress,campaign
David Rouzer,house,R,DavidRouzer,campaign
David Rouzer,house,R,RepDavidRouzer,office
Deborah Ross,house,D,DeborahRossNC,campaign
Deborah Ross,house,D,RepDeborahRoss,office
G.K. Butterfield,house,D,GKButterfield,office
George Holding,house,R,GeorgeHolding,campaign
George Holding,house,R,RepHolding,office
Greg Murphy,house,R,RepGregMurphy,office
Greg Murphy,house,R,GregMurphyMD,campaign
Kathy Manning,house,D,RepKManning,office
Kathy Manning,house,D,KathyManningNC,campaign
Mark Meadows,house,R,TeamMeadows,campaign
Mark Meadows,house,R,MarkMeadows,office
Mark Meadows,house,R,Ma_15855744287,campaign
Mark Walker,house,R,Walker4NC,campaign
Mark Walker,house,R,RepMarkWalker,office
Patrick McHenry,house,R,PatrickMcHenry,office
Patrick McHenry,house,R,McHenryCampaign,campaign
Richard Hudson,house,R,RichHudson,campaign
Richard Hudson,house,R,RepRichHudson,office
Robert Pittenger,house,R,RobertPittenger,campaign
Robert Pittenger,house,R,reppittenger,office
Ted Budd,house,R,RepTedBudd,office
Ted Budd,house,R,TedBuddNC,campaign
Virginia Foxx,house,R,virginiafoxx,office
Virginia Foxx,house,R,foxxforcongress,campaign
Walter B. Jones,house,R,RepWalterJones,office
Walter B. Jones,house,R,WalterJones2018,campaign
Kelly Armstrong,house,R,RepArmstrongND,office
Kelly Armstrong,house,R,Armstrong_ND,campaign
Adrian Smith,house,R,RepAdrianSmith,office
Don Bacon,house,R,DonJBacon,campaign
Don Bacon,house,R,RepDonBacon,office
Jeff Fortenberry,house,R,JeffFortenberry,office
Jeff Fortenberry,house,R,supportfortNE,campaign
Annie Kuster,house,D,AnnMcLaneKuster,campaign
Annie Kuster,house,D,RepAnnieKuster,office
Carol Shea-Porter,house,D,RepSheaPorter,office
Carol Shea-Porter,house,D,TeamSheaPorter,campaign
Chris Pappas,house,D,ChrisPappasNH,campaign
Chris Pappas,house,D,RepChrisPappas,office
Chris Pappas,house,D,TeamPappasNH,campaign
Albio Sires,house,D,RepSires,office
Albio Sires,house,D,AlbioSiresNJ,campaign
Andy Kim,house,D,AndyKimNJ,campaign
Andy Kim,house,D,RepAndyKimNJ,office
Bill Pascrell,house,D,BillPascrell,office
Bill Pascrell,house,D,PascrellforNJ,campaign
Bonnie Watson Coleman,house,D,Bonnie4Congress,campaign
Bonnie Watson Coleman,house,D,RepBonnie,office
Chris Smith,house,R,RepChrisSmith,office
Donald Norcross,house,D,DonNorcross4NJ,campaign
Donald Norcross,house,D,DonaldNorcross,office
Donald Payne Jr,house,D,DonaldPayneJr,campaign
Donald Payne Jr,house,D,RepDonaldPayne,office
Frank LoBiondo,house,R,TeamLoBiondo,campaign
Frank LoBiondo,house,R,RepLoBiondo,office
Frank Pallone,house,D,FrankPallone,office
Frank Pallone,house,D,pallonefornj,campaign
Jeff Van Drew,house,R,CongressmanJVD,office
Jeff Van Drew,house,R,VanDrewForNJ,campaign
Josh Gottheimer,house,D,JoshGottheimer,campaign
Josh Gottheimer,house,D,RepJoshG,office
Leonard Lance,house,R,LeonardLanceNJ7,campaign
Leonard Lance,house,R,RepLanceNJ7,office
Mikie Sherrill,house,D,MikieSherrill,campaign
Mikie Sherrill,house,D,RepSherrill,office
Rodney Frelinghuysen,house,R,USRepRodney,office
Tom MacArthur,house,R,tmac4congress,campaign
Tom MacArthur,house,R,RepTomMacArthur,office
Tom Malinowski,house,D,RepMalinowski,office
Tom Malinowski,house,D,Malinowski,campaign
Deb Haaland,house,D,DebHaalandNM,campaign
Deb Haaland,house,D,RepDebHaaland,office
Michelle Lujan Grisham,house,D,Michelle4NM,campaign
Michelle Lujan Grisham,house,D,RepLujanGrisham,office
Stella Herrell,house,R,RepHerrell,office
Stella Herrell,house,R,Yvette4congress,campaign
Steve Pearce,house,R,Pearce4NM,campaign
Steve Pearce,house,R,RepStevePearce,office
Teresa Fernandez,house,D,RepTeresaLF,office
Teresa Fernandez,house,D,TeresaForNM,campaign
Xochitl Torres Small,house,D,XochforCongress,campaign
Xochitl Torres Small,house,D,RepTorresSmall,office
Dina Titus,house,D,dinatitus,campaign
Dina Titus,house,D,repdinatitus,office
Mark Amodei,house,R,AmodeiForNevada,campaign
Mark Amodei,house,R,MarkAmodeiNV2,office
Ruben Kihuen,house,D,RubenKihuen,campaign
Ruben Kihuen,house,D,RepKihuen,office
Steven Horsford,house,D,StevenHorsford,campaign
Steven Horsford,house,D,RepHorsford,office
Susie Lee,house,D,SusieLeeNV,campaign
Susie Lee,house,D,RepSusieLee,office
Adriano Espaillat,house,D,EspaillatNY,campaign
Adriano Espaillat,house,D,CongEspaillat,office
Adriano Espaillat,house,D,RepEspaillat,office
Alexandria Ocasio-Cortez,house,D,AOC,campaign
Alexandria Ocasio-Cortez,house,D,RepAOC,office
Alexandria Ocasio-Cortez,house,D,aocenespanol,campaign
Andrew Garbarino,house,R,RepGarbarino,office
Andrew Garbarino,house,R,GarbarinoforNY,campaign
Anthony Brindisi,house,D,ABrindisiNY,campaign
Anthony Brindisi,house,D,RepBrindisi,office
Antonio Delgado,house,D,repdelgado,office
Antonio Delgado,house,D,DelgadoforNY19,campaign
Brian Higgins,house,D,RepBrianHiggins,office
Brian Higgins,house,D,Higgins4WNY,campaign
Carolyn Maloney,house,D,CarolynBMaloney,campaign
Carolyn Maloney,house,D,RepMaloney,office
Chris Collins,house,R,CollinsNY27,campaign
Chris Collins,house,R,RepChrisCollins,office
Chris Jacobs,house,R,RepJacobs,office
Chris Jacobs,house,R,JacobsNY27,campaign
Claudia Tenney,house,R,claudiatenney,campaign
Claudia Tenney,house,R,RepTenney,office
Dan Donovan,house,R,dandonovan_ny,campaign
Dan Donovan,house,R,RepDanDonovan,office
Eliot Engel,house,D,RepEliotEngel,office
Eliot Engel,house,D,TeamEngel,campaign
Elise Stefanik,house,R,EliseStefanik,campaign
Elise Stefanik,house,R,RepStefanik,office
Grace Meng,house,D,Grace4NY,campaign
Grace Meng,house,D,RepGraceMeng,office
Gregory Meeks,house,D,RepGregoryMeeks,office
Gregory Meeks,house,D,GregMeeksNYC,campaign
Hakeem Jeffries,house,D,RepJeffries,office
Hakeem Jeffries,house,D,hakeemjeffries,campaign
Jamaal Bowman,house,D,RepBowman,office
Jamaal Bowman,house,D,JamaalBowmanNY,campaign
Jerrold Nadler,house,D,RepJerryNadler,office
Jerrold Nadler,house,D,JerryNadler,campaign
John Faso,house,R,JohnFasoNy,campaign
John Faso,house,R,RepJohnFaso,office
John Katko,house,R,RepJohnKatko,office
Jose E. Serrano,house,D,RepJoseSerrano,office
Jose E. Serrano,house,D,serranocongress,campaign
Joseph Crowley,house,D,repjoecrowley,office
Joseph Crowley,house,D,JoeCrowleyforNY,campaign
Joseph Morelle,house,D,JoeMorelle,office
Joseph Morelle,house,D,VoteMorelle,campaign
Joseph Morelle,house,D,RepJoeMorelle,office
Kathleen Rice,house,D,KathleenRice,campaign
Kathleen Rice,house,D,RepKathleenRice,office
Lee Zeldin,house,R,leezeldin,campaign
Lee Zeldin,house,R,RepLeeZeldin,office
Louise Slaughter,house,D,louiseslaughter,office
Louise Slaughter,house,D,VoteLouiseNY,campaign
Max Rose,house,D,RepMaxRose,office
Max Rose,house,D,MaxRose4NY,campaign
Mondaire Jones,house,D,RepMondaire,office
Mondaire Jones,house,D,MondaireJones,campaign
Nicole Malliotakis,house,R,NMalliotakis,campaign
Nicole Malliotakis,house,R,RepMalliotakis,office
Nita Lowey,house,D,NitaLowey,office
Nita Lowey,house,D,Lowey4Congress,campaign
Nydia Velazquez,house,D,NydiaVelazquez,office
Nydia Velazquez,house,D,ReElectNydia,campaign
Paul Tonko,house,D,RepPaulTonko,office
Paul Tonko,house,D,PaulTonko,campaign
Peter T. King,house,R,RepPeteKing,office
Peter T. King,house,R,petekingcpg,campaign
Ritchie Torres,house,D,RitchieTorres,campaign
Ritchie Torres,house,D,RepRitchie,office
Sean Maloney,house,D,spmaloney,campaign
Sean Maloney,house,D,RepSeanMaloney,office
Thomas Suozzi,house,D,Tom_Suozzi,campaign
Thomas Suozzi,house,D,RepTomSuozzi,office
Tom Reed,house,R,TomReedCongress,campaign
Tom Reed,house,R,TomReedNY23,office
Yvette Clarke,house,D,RepYvetteClarke,office
Yvette Clarke,house,D,VoteYvette,campaign
Anthony Gonzalez,house,R,RepAGonzalez,office
Anthony Gonzalez,house,R,anthonygonzalez,campaign
Bill Johnson,house,R,JohnsonLeads,campaign
Bill Johnson,house,R,RepBillJohnson,office
Bob Gibbs,house,R,Bob_Gibbs,campaign
Bob Gibbs,house,R,RepBobGibbs,office
Bob Latta,house,R,boblatta,office
Bob Latta,house,R,latta4congress,campaign
Brad Wenstrup,house,R,bradwenstrup,campaign
Brad Wenstrup,house,R,RepBradWenstrup,office
David Joyce,house,R,DaveJoyceOH14,campaign
David Joyce,house,R,RepDaveJoyce,office
Jim Jordan,house,R,Jim_Jordan,office
Jim Jordan,house,R,Votejimjordan,campaign
Jim Renacci,house,R,RepJimRenacci,office
Jim Renacci,house,R,JimRenacci,campaign
Joyce Beatty,house,D,JoyceBeatty,campaign
Joyce Beatty,house,D,RepBeatty,office
Marcia Fudge,house,D,mlfudge,campaign
Marcia Fudge,house,D,RepMarciaFudge,office
Marcy Kaptur,house,D,Marcy_Kaptur,campaign
Marcy Kaptur,house,D,RepMarcyKaptur,office
Mike Turner,house,R,RepMikeTurner,office
Mike Turner,house,R,MikeTurnerOH,campaign
Pat Tiberi,house,R,TeamTiberi,campaign
Pat Tiberi,house,R,PatTiberi,office
Steve Chabot,house,R,SteveChabot,campaign
Steve Chabot,house,R,RepSteveChabot,office
Steve Stivers,house,R,stevestivers,campaign
Steve Stivers,house,R,RepSteveStivers,office
Tim Ryan,house,D,RepTimRyan,office
Tim Ryan,house,D,TimRyan,campaign
Troy Balderson,house,R,Troy_Balderson,campaign
Troy Balderson,house,R,RepBalderson,office
Warren Davidson,house,R,WarrenDavidson,office
Warren Davidson,house,R,Vote_Davidson,campaign
Frank Lucas,house,R,RepFrankLucas,office
Frank Lucas,house,R,FrankDLucas,campaign
Jim Bridenstine,house,R,Bridenstine4OK,campaign
Jim Bridenstine,house,R,RepJBridenstine,office
Kendra Horn,house,D,KendraSHorn,office
Kendra Horn,house,D,HornForCongress,campaign
Kevin Hern,house,R,krhern,campaign
Kevin Hern,house,R,repkevinhern,office
Markwayne Mullin,house,R,MarkwayneMullin,campaign
Markwayne Mullin,house,R,RepMullin,office
Stephanie Bice,house,R,stephaniebice,campaign
Stephanie Bice,house,R,RepBice,office
Steve Russell,house,R,SteveRussellOK,campaign
Steve Russell,house,R,RepRussell,office
Tom Cole,house,R,TomColeOK04,office
Tom Cole,house,R,ColeForCongress,campaign
Cliff Bentz,house,R,RepBentz,office
Cliff Bentz,house,R,CliffBentz,campaign
Earl Blumenauer,house,D,repblumenauer,campaign
Earl Blumenauer,house,D,BlumenauerMedia,office
Greg Walden,house,R,repgregwalden,office
Greg Walden,house,R,gregwalden,campaign
Kurt Schrader,house,D,RepSchrader,office
Kurt Schrader,house,D,VoteSchrader,campaign
Peter DeFazio,house,D,DeFazio4Oregon,campaign
Peter DeFazio,house,D,RepPeterDeFazio,office
Suzanne Bonamici,house,D,RepBonamici,office
Bill Shuster,house,R,RepBillShuster,office
Bill Shuster,house,R,ShusterForPA9,campaign
Bob Brady,house,D,RepBrady,office
Bob Brady,house,D,BradyforPhilly,campaign
Brendan Boyle,house,D,RepBrendanBoyle,campaign
Brendan Boyle,house,D,CongBoyle,office
Brian Fitzpatrick,house,R,RepBrianFitz,office
Brian Fitzpatrick,house,R,BrianFitzUSA,campaign
Charlie Dent,house,R,DentforCongress,campaign
Charlie Dent,house,R,RepCharlieDent,office
Chrissy Houlahan,house,D,RepHoulahan,office
Chrissy Houlahan,house,D,HoulahanForPA,campaign
Conor Lamb,house,D,RepConorLamb,office
Conor Lamb,house,D,ConorLambPA,campaign
Dan Meuser,house,R,RepMeuser,office
Dan Meuser,house,R,Meuser4Congress,campaign
Dwight Evans,house,D,RepDwightEvans,office
Dwight Evans,house,D,DwightEvansPA,campaign
Fred Keller,house,R,RepFredKeller,office
Fred Keller,house,R,VoteFredKeller,campaign
Glenn Thompson,house,R,CongressmanGT,office
Glenn Thompson,house,R,GT_TeamGT,campaign
Guy Reschenthaler,house,R,reschenthaler,campaign
Guy Reschenthaler,house,R,GReschenthaler,office
John Joyce,house,R,RepJohnJoyce,office
John Joyce,house,R,JohnJoyceForPA,campaign
Keith Rothfus,house,R,KeithRothfus,office
Lloyd Smucker,house,R,RepSmucker,office
Lloyd Smucker,house,R,LloydSmuckerPA,campaign
Lou Barletta,house,R,louforsenate,campaign
Lou Barletta,house,R,RepLouBarletta,office
Madeleine Dean,house,D,RepDean,office
Madeleine Dean,house,D,MadeleineDean,campaign
Mary Scanlon,house,D,marygayscanlon,campaign
Mary Scanlon,house,D,RepMGS,office
Matt Cartwright,house,D,CartwrightPA,campaign
Matt Cartwright,house,D,RepCartwright,office
Michael F. Doyle,house,D,USRepMikeDoyle,office
Michael F. Doyle,house,D,rep_doyle,campaign
Mike Kelly,house,R,MikeKellyforPA,campaign
Mike Kelly,house,R,MikeKellyPA,office
Pat Meehan,house,R,PatMeehanPA,campaign
Pat Meehan,house,R,RepMeehan,office
Ryan Costello,house,R,RyanACostello,campaign
Ryan Costello,house,R,RepRyanCostello,office
Ryan Costello,house,R,RyanCostello,office
Scott Perry,house,R,RepScottPerry,office
Scott Perry,house,R,PatriotsPerry,campaign
Susan Wild,house,D,wildforcongress,campaign
Susan Wild,house,D,RepSusanWild,office
Tim Murphy,house,R,RepTimMurphy,office
Tim Murphy,house,R,TimMurphyPA,campaign
Tom Marino,house,R,Marino4Congress,campaign
Tom Marino,house,R,RepTomMarino,office
Jenniffer Gonzalez,house,R,Jenniffer2012,campaign
Jenniffer Gonzalez,house,R,JGO_2020,campaign
Jenniffer Gonzalez,house,R,RepJenniffer,office
David Cicilline,house,D,davidcicilline,campaign
David Cicilline,house,D,RepCicilline,office
Jim Langevin,house,D,JimLangevin,office
Jim Langevin,house,D,LangevinForRI,campaign
Jeff Duncan,house,R,Duncan4Congress,campaign
Jeff Duncan,house,R,RepJeffDuncan,office
Jim Clyburn,house,D,WhipClyburn,office
Jim Clyburn,house,D,ClyburnSC06,campaign
Joe Cunningham,house,D,RepCunningham,office
Joe Cunningham,house,D,JoeCunninghamSC,campaign
Joe Wilson,house,R,TeamJoeWilson,campaign
Joe Wilson,house,R,RepJoeWilson,office
Mark Sanford,house,R,MarkSanford,campaign
Mark Sanford,house,R,RepSanfordSC,office
Nancy Mace,house,R,RepNancyMace,office
Nancy Mace,house,R,NancyMace,campaign
Ralph Norman,house,R,RalphNorman,campaign
Ralph Norman,house,R,RepRalphNorman,office
Tom Rice,house,R,TomRiceSC7,campaign
Tom Rice,house,R,RepTomRice,office
Trey Gowdy,house,R,TGowdySC,office
Trey Gowdy,house,R,gowdy4congress,campaign
William Timmons,house,R,reptimmons,office
William Timmons,house,R,votetimmons,campaign
Dusty Johnson,house,R,DustyJohnson,campaign
Dusty Johnson,house,R,RepDustyJohnson,office
Kristi Noem,house,R,KristiNoem,campaign
Kristi Noem,house,R,RepKristiNoem,office
Chuck Fleischmann,house,R,chuck4congress,campaign
Chuck Fleischmann,house,R,RepChuck,office
David Kustoff,house,R,DavidKustoff,campaign
David Kustoff,house,R,repdavidkustoff,office
Diana Harshbarger,house,R,RepHarshbarger,office
Diana Harshbarger,house,R,DHarshbargerTN1,campaign
Diane Black,house,R,RepDianeBlack,office
Diane Black,house,R,DianeBlackTN,campaign
Jim Cooper,house,D,repjimcooper,office
Jim Cooper,house,D,coopforcongress,campaign
Jimmy Duncan,house,R,RepJohnDuncanJr,office
John Rose,house,R,RepJohnRose,office
John Rose,house,R,JohnRoseforTN,campaign
Mark Green,house,R,DrMarkGreen4TN,campaign
Mark Green,house,R,RepMarkGreen,office
Phil Roe,house,R,DrPhilRoe,office
Scott DesJarlais,house,R,tndesjarlais,campaign
Scott DesJarlais,house,R,DesJarlaisTN04,office
Steve Cohen,house,D,ReElectCohen,campaign
Steve Cohen,house,D,RepCohen,office
Tim Burchett,house,R,timburchett,campaign
Tim Burchett,house,R,RepTimBurchett,office
Al Green,house,D,RepAlGreen,office
Al Green,house,D,RepAlGreenTX,office
August Pfluger,house,R,RepPfluger,office
August Pfluger,house,R,AugustPfluger,campaign
Beth Van Duyne,house,R,Bethvanduyne,campaign
Beth Van Duyne,house,R,RepBethVanDuyne,office
Beto O'Rourke,house,D,BetoORourke,campaign
Beto O'Rourke,house,D,RepBetoORourke,office
Bill Flores,house,R,Flores4Congress,campaign
Bill Flores,house,R,BillFloresTX,office
Blake Farenthold,house,R,farenthold,office
Blake Farenthold,house,R,Elect_Blake,campaign
Brian Babin,house,R,Babin4Congress,campaign
Brian Babin,house,R,RepBrianBabin,office
Chip Roy,house,R,chiproytx,campaign
Chip Roy,house,R,RepChipRoy,office
Colin Allred,house,D,ColinAllredTX,campaign
Colin Allred,house,D,RepColinAllred,office
Dan Crenshaw,house,R,RepDanCrenshaw,office
Dan Crenshaw,house,R,DanCrenshawTX,campaign
Eddie Bernice Johnson,house,D,RepEBJ,office
Ernest Gonzales,house,R,RepTonyGonzales,office
Ernest Gonzales,house,R,TonyGonzales4TX,campaign
Filemon Vela,house,D,FilemonVela,campaign
Filemon Vela,house,D,RepFilemonVela,office
Gene Green,house,D,RepGeneGreen,office
Gene Green,house,D,GeneGreen29,campaign
Henry Cuellar,house,D,RepCuellar,office
Henry Cuellar,house,D,CuellarCampaign,campaign
Jeb Hensarling,house,R,RepHensarling,office
Jeb Hensarling,house,R,JebHensarling,campaign
Joaquin Castro,house,D,JoaquinCastrotx,office
Joaquin Castro,house,D,Castro4Congress,campaign
Jodey Arrington,house,R,JodeyArrington,campaign
Jodey Arrington,house,R,RepArrington,office
Joe Barton,house,R,RepJoeBarton,office
Joe Barton,house,R,Barton4Congress,campaign
John Carter,house,R,JudgeCarter,office
John Carter,house,R,RepJohnCarter,campaign
John Carter,house,R,JudgeJohnCarter,campaign
John Culberson,house,R,johnculberson,campaign
John Culberson,house,R,CongCulberson,office
John Ratcliffe,house,R,RatcliffeTX4,campaign
John Ratcliffe,house,R,RepRatcliffe,office
Kay Granger,house,R,RepKayGranger,office
Kay Granger,house,R,kay_granger,campaign
Kenny Marchant,house,R,RepKenMarchant,office
Kenny Marchant,house,R,MarchantforTX24,campaign
Kevin Brady,house,R,RepKevinBrady,office
Kevin Brady,house,R,bradyfortexas,campaign
Lamar Smith,house,R,LamarSmithTX21,office
Lamar Smith,house,R,TexansforLamar,campaign
Lance Gooden,house,R,RepLanceGooden,office
Lance Gooden,house,R,Lancegooden,campaign
Lizzie Fletcher,house,D,RepFletcher,office
Lizzie Fletcher,house,D,Lizzie4Congress,campaign
Lloyd Doggett,house,D,RepLloydDoggett,office
Lloyd Doggett,house,D,LloydDoggettTX,campaign
Louie Gohmert,house,R,replouiegohmert,office
Louie Gohmert,house,R,LouieGohmertTX1,campaign
Mac Thornberry,house,R,MacTXPress,office
Mac Thornberry,house,R,MacThornberry,campaign
Mark Veasey,house,D,MarcVeasey,campaign
Mark Veasey,house,D,RepVeasey,office
Michael C. Burgess,house,R,michaelcburgess,office
Michael C. Burgess,house,R,DrBurgessTX,campaign
Michael Cloud,house,R,michaeljcloud,campaign
Michael Cloud,house,R,RepCloudTX,office
Michael McCaul,house,R,RepMcCaul,office
Michael McCaul,house,R,McCaulforTexas,campaign
Mike Conaway,house,R,ConawayTX11,office
Patrick Fallon,house,R,FallonForTexas,campaign
Patrick Fallon,house,R,RepPatFallon,office
Pete Olson,house,R,PeteOlson,campaign
Pete Olson,house,R,RepPeteOlson,office
Pete Sessions,house,R,PeteSessions,office
Pete Sessions,house,R,SessionsTX17,campaign
Randy Weber,house,R,WeberforTexas,campaign
Randy Weber,house,R,TXRandy14,office
Roger Williams,house,R,RogerWilliamsTX,campaign
Roger Williams,house,R,RepRWilliams,office
Ron Wright,house,R,RepRonWright,office
Ron Wright,house,R,ron4congress,campaign
Ronny Jackson,house,R,RepRonnyJackson,office
Ronny Jackson,house,R,RonnyJacksonTX,campaign
Sam Johnson,house,R,SamsPressShop,office
Sheila Jackson Lee,house,D,JacksonLeeTX18,office
Sheila Jackson Lee,house,D,JacksonLee18,campaign
Sheila Jackson Lee,house,D,sjl4hrc,campaign
Sylvia Garcia,house,D,LaCongresista,campaign
Sylvia Garcia,house,D,RepSylviaGarcia,office
Ted Poe,house,R,JudgeTedPoe,office
Troy Nehls,house,R,SheriffTNehls,campaign
Troy Nehls,house,R,RepTroyNehls,office
Van Taylor,house,R,VanTaylorTX,campaign
Van Taylor,house,R,RepVanTaylor,office
Veronica Escobar,house,D,vgescobar,campaign
Veronica Escobar,house,D,RepEscobar,office
Vicente Gonzalez,house,D,RepGonzalez,office
Vicente Gonzalez,house,D,VoteVicente,campaign
Will Hurd,house,R,WillHurd,campaign
Will Hurd,house,R,HurdOnTheHill,office
Ben McAdams,house,D,BenMcAdams,campaign
Ben McAdams,house,D,BenMcAdamsUT,office
Blake Moore,house,R,ElectBlakeMoore,campaign
Blake Moore,house,R,RepBlakeMoore,office
Chris Stewart,house,R,StewartforUtah,campaign
Chris Stewart,house,R,RepChrisStewart,office
Clarence Owens,house,R,BurgessOwens,campaign
Clarence Owens,house,R,RepBurgessOwens,office
Jason Chaffetz,house,R,jasoninthehouse,office
John Curtis,house,R,CurtisUT,campaign
John Curtis,house,R,RepJohnCurtis,office
Mia Love,house,R,MiaBLove,campaign
Mia Love,house,R,RepMiaLove,office
Rob Bishop,house,R,RepRobBishop,office
Rob Bishop,house,R,RobBishopUT,campaign
Abigail Spanberger,house,D,RepSpanberger,office
Abigail Spanberger,house,D,SpanbergerVA07,campaign
Barbara Comstock,house,R,BarbaraComstock,campaign
Barbara Comstock,house,R,RepComstock,office
Ben Cline,house,R,Cline4Virginia,campaign
Ben Cline,house,R,RepBenCline,office
Bob Goodlatte,house,R,RepGoodlatte,office
Bob Goodlatte,house,R,BobGoodlatte6,campaign
Bobby Scott,house,D,BobbyScott,office
Bobby Scott,house,D,BobbyScott4VA3,campaign
Dave Brat,house,R,DaveBratVA7th,campaign
Dave Brat,house,R,RepDaveBrat,office
Denver Riggleman,house,R,RepRiggleman,office
Denver Riggleman,house,R,Denver4VA,campaign
Don Beyer,house,D,DonBeyerVA,campaign
Don Beyer,house,D,RepDonBeyer,office
Donald McEachin,house,D,Donald_McEachin,campaign
Donald McEachin,house,D,RepMcEachin,office
Elaine Luria,house,D,RepElaineLuria,office
Elaine Luria,house,D,ElaineLuriaVA,campaign
Gerry Connolly,house,D,GerryConnolly,office
Gerry Connolly,house,D,ElectConnolly,campaign
Jennifer Wexton,house,D,JenniferWexton,campaign
Jennifer Wexton,house,D,RepWexton,office
Morgan Griffith,house,R,MorganGriffith,campaign
Morgan Griffith,house,R,RepMGriffith,office
Rob Wittman,house,R,RobWittman,office
Rob Wittman,house,R,ReElectWittman,campaign
Robert Good,house,R,RepBobGood,office
Robert Good,house,R,GoodForCongress,campaign
Scott Taylor,house,R,Scotttaylorva,campaign
Scott Taylor,house,R,RepScottTaylor,office
Tom Garrett Jr.,house,R,GarrettforVA,campaign
Tom Garrett Jr.,house,R,RepTomGarrett,office
Stacey Plaskett,house,D,StaceyPlaskett,office
Peter Welch,house,D,WelchForVT,campaign
Peter Welch,house,D,PeterWelch,office
Adam Smith,house,D,electadamsmith,campaign
Adam Smith,house,D,RepAdamSmith,office
Cathy McMorris Rodgers,house,R,cathymcmorris,office
Cathy McMorris Rodgers,house,R,TeamCMR,campaign
Dan Newhouse,house,R,Newhouse4Rep,campaign
Dan Newhouse,house,R,RepNewhouse,office
Dave Reichert,house,R,davereichert,office
Dave Reichert,house,R,TeamReichert,campaign
Denny Heck,house,D,DennyHeck,campaign
Denny Heck,house,D,RepDennyHeck,office
Derek Kilmer,house,D,DerekKilmer,campaign
Derek Kilmer,house,D,RepDerekKilmer,office
Jaime Herrera Beutler,house,R,JaimeForUSRep,campaign
Jaime Herrera Beutler,house,R,HerreraBeutler,office
Kim Schrier,house,D,RepKimSchrier,office
Kim Schrier,house,D,DrKimSchrier,campaign
Marilyn Strickland,house,D,RepStricklandWA,office
Marilyn Strickland,house,D,StricklandforWA,campaign
Pramila Jayapal,house,D,PramilaJayapal,campaign
Pramila Jayapal,house,D,RepJayapal,office
Rick Larsen,house,D,larsenrick,campaign
Rick Larsen,house,D,RepRickLarsen,office
Suzan DelBene,house,D,SuzanDelBene,campaign
Suzan DelBene,house,D,RepDelBene,office
Bryan Steil,house,R,RepBryanSteil,office
Bryan Steil,house,R,BryanSteil,campaign
Glenn Grothman,house,R,GrothmanforWI,campaign
Glenn Grothman,house,R,RepGrothman,office
Gwen Moore,house,D,RepGwenMoore,office
Gwen Moore,house,D,Gwen4Congress,campaign
Jim Sensenbrenner,house,R,JimPressOffice,office
Mark Pocan,house,D,MarkPocan,campaign
Mark Pocan,house,D,repmarkpocan,office
Mike Gallagher,house,R,MikeforWI,campaign
Mike Gallagher,house,R,RepGallagher,office
Paul Ryan,house,R,SpeakerRyan,office
Paul Ryan,house,R,PRyan,office
Ron Kind,house,D,RepRonKind,office
Ron Kind,house,D,KindforCongress,campaign
Scott Fitzgerald,house,R,RepFitzgerald,office
Scott Fitzgerald,house,R,FitzgeraldForWI,campaign
Sean Duffy,house,R,Duffy4Wisconsin,campaign
Sean Duffy,house,R,RepSeanDuffy,office
Thomas Tiffany,house,R,TomTiffanyWI,campaign
Thomas Tiffany,house,R,RepTiffany,office
Alex Mooney,house,R,MooneyforWV,campaign
Alex Mooney,house,R,RepAlexMooney,office
Carol Miller,house,R,CarolMillerWV,campaign
Carol Miller,house,R,RepCarolMiller,office
David McKinley,house,R,mckinley4cong,campaign
David McKinley,house,R,RepMcKinley,office
David McKinley,house,R,McKinleyforWV,campaign
Evan Jenkins,house,R,EvanJenkinsWV,campaign
Evan Jenkins,house,R,RepEvanJenkins,office
Liz Cheney,house,R,Liz_Cheney,campaign
Liz Cheney,house,R,RepLizCheney,office
Dan Sullivan,senate,R,DanSullivan_AK,campaign
Dan Sullivan,senate,R,SenDanSullivan,office
Lisa Murkowski,senate,R,lisamurkowski,office
Lisa Murkowski,senate,R,LisaForSenate,campaign
Doug Jones,senate,D,DougJones,campaign
Doug Jones,senate,D,SenDougJones,office
Doug Jones,senate,D,DougJonesHQ,campaign
Luther Strange,senate,R,lutherstrange,campaign
Luther Strange,senate,R,SenatorStrange,office
